angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.04,,"[223, 186, 135, 173]",,0.0,,0.11,,0.08,,0.58,,0.14,,0.05,
0.1,,"[228, 192, 128, 158]",,0.0,,0.18,,0.09,,0.32,,0.2,,0.11,
0.06,,"[228, 187, 132, 164]",,0.0,,0.11,,0.09,,0.48,,0.22,,0.03,
0.13,,"[236, 186, 124, 154]",,0.0,,0.19,,0.07,,0.3,,0.25,,0.07,
0.09,,"[235, 185, 124, 154]",,0.0,,0.17,,0.05,,0.44,,0.21,,0.04,
0.06,,"[236, 183, 123, 152]",,0.0,,0.14,,0.03,,0.49,,0.25,,0.04,
0.03,,"[237, 184, 123, 150]",,0.0,,0.13,,0.02,,0.49,,0.32,,0.01,
0.02,,"[236, 183, 121, 147]",,0.0,,0.04,,0.07,,0.45,,0.42,,0.0,
0.01,,"[238, 183, 118, 144]",,0.0,,0.03,,0.11,,0.42,,0.43,,0.0,
0.01,,"[237, 181, 118, 145]",,0.0,,0.03,,0.08,,0.59,,0.3,,0.0,
0.02,,"[239, 182, 116, 141]",,0.0,,0.05,,0.09,,0.45,,0.39,,0.0,
0.01,,"[236, 182, 119, 144]",,0.0,,0.05,,0.09,,0.62,,0.23,,0.0,
0.01,,"[235, 184, 119, 145]",,0.0,,0.08,,0.03,,0.63,,0.25,,0.0,
0.02,,"[234, 182, 121, 148]",,0.0,,0.09,,0.04,,0.58,,0.26,,0.01,
0.01,,"[234, 184, 123, 149]",,0.0,,0.07,,0.04,,0.64,,0.23,,0.0,
0.02,,"[235, 186, 122, 148]",,0.0,,0.05,,0.05,,0.75,,0.13,,0.0,
0.02,,"[235, 186, 123, 149]",,0.0,,0.05,,0.07,,0.71,,0.15,,0.0,
0.02,,"[236, 187, 123, 149]",,0.0,,0.06,,0.08,,0.68,,0.15,,0.0,
0.01,,"[235, 186, 124, 151]",,0.0,,0.03,,0.06,,0.82,,0.08,,0.0,
0.01,,"[232, 187, 125, 152]",,0.0,,0.03,,0.05,,0.82,,0.08,,0.0,
0.02,,"[233, 189, 124, 151]",,0.0,,0.02,,0.03,,0.85,,0.07,,0.0,
0.01,,"[233, 189, 124, 151]",,0.0,,0.02,,0.04,,0.87,,0.06,,0.0,
0.02,,"[231, 187, 125, 155]",,0.0,,0.04,,0.05,,0.82,,0.07,,0.0,
0.01,,"[231, 189, 124, 152]",,0.0,,0.02,,0.04,,0.86,,0.06,,0.0,
0.02,,"[231, 188, 123, 153]",,0.0,,0.05,,0.03,,0.83,,0.06,,0.0,
0.04,,"[233, 188, 123, 150]",,0.0,,0.04,,0.02,,0.83,,0.06,,0.0,
0.02,,"[232, 188, 122, 150]",,0.0,,0.03,,0.09,,0.8,,0.05,,0.0,
0.01,,"[231, 184, 120, 147]",,0.0,,0.06,,0.1,,0.64,,0.18,,0.01,
0.01,,"[231, 179, 124, 152]",,0.0,,0.03,,0.09,,0.76,,0.1,,0.02,
0.02,,"[233, 180, 120, 147]",,0.0,,0.08,,0.11,,0.53,,0.22,,0.04,
0.02,,"[237, 180, 120, 147]",,0.0,,0.06,,0.12,,0.51,,0.28,,0.01,
0.01,,"[233, 175, 121, 148]",,0.0,,0.06,,0.13,,0.27,,0.53,,0.0,
0.0,,"[234, 176, 120, 148]",,0.0,,0.07,,0.06,,0.35,,0.52,,0.0,
0.0,,"[234, 177, 121, 147]",,0.0,,0.08,,0.07,,0.24,,0.6,,0.0,
0.01,,"[237, 181, 120, 147]",,0.0,,0.03,,0.02,,0.56,,0.38,,0.0,
0.01,,"[236, 183, 120, 144]",,0.0,,0.05,,0.03,,0.61,,0.29,,0.0,
0.02,,"[231, 183, 118, 144]",,0.0,,0.07,,0.06,,0.56,,0.29,,0.0,
0.02,,"[229, 182, 122, 148]",,0.0,,0.04,,0.11,,0.63,,0.19,,0.0,
0.02,,"[226, 180, 122, 149]",,0.0,,0.09,,0.15,,0.42,,0.31,,0.01,
0.03,,"[224, 188, 124, 153]",,0.0,,0.1,,0.02,,0.46,,0.38,,0.01,
0.03,,"[221, 188, 127, 157]",,0.0,,0.12,,0.05,,0.46,,0.33,,0.01,
0.07,,"[217, 197, 128, 158]",,0.0,,0.1,,0.04,,0.6,,0.2,,0.0,
0.07,,"[216, 202, 127, 155]",,0.0,,0.09,,0.03,,0.62,,0.19,,0.01,
0.05,,"[217, 201, 129, 159]",,0.0,,0.03,,0.02,,0.86,,0.04,,0.0,
0.04,,"[221, 203, 124, 151]",,0.0,,0.03,,0.02,,0.85,,0.05,,0.0,
0.04,,"[220, 196, 124, 150]",,0.0,,0.07,,0.06,,0.63,,0.17,,0.03,
0.1,,"[228, 190, 121, 150]",,0.0,,0.2,,0.09,,0.39,,0.18,,0.04,
0.02,,"[222, 177, 127, 156]",,0.0,,0.05,,0.08,,0.75,,0.09,,0.01,
0.02,,"[226, 176, 123, 153]",,0.0,,0.05,,0.05,,0.8,,0.07,,0.01,
0.06,,"[231, 185, 120, 148]",,0.0,,0.07,,0.02,,0.69,,0.15,,0.01,
0.02,,"[236, 182, 119, 147]",,0.0,,0.06,,0.05,,0.43,,0.44,,0.0,
0.01,,"[237, 184, 117, 144]",,0.0,,0.03,,0.08,,0.46,,0.41,,0.0,
